Title,Date,Link
Coronavirus__Hope_as_Italy_records_first_fall_in_active_virus_cases,20 April 2020,https://bbc.com/news/world-europe-52363044
Coronavirus_further_threatening_media_freedom__says_Reporters_Without_Borders,21 April 2020,https://bbc.com/news/world-52363305
